imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
10p,tau_w,-0.2,0.8,12347,FS,0.1430674433740029,0.0,7.1726374999999996,1.0308498843120255
10p,p_conn,0.1,1.1,12345,IMP,0.17603620262966568,0.0,12.1620625,2.108315439351589
10p,p_conn,0.1,1.1,12345,FS,0.1124127680729789,0.0,6.2964,1.1742823896793129
10p,C,0.0,1.0,12347,IMP,0.15619630127882245,0.0,11.3375,2.023906193915074
10p,C,0.0,1.0,12347,FS,0.10454277554393954,0.0,6.235074999999999,1.1121676610237587
10p,tau_w,0.0,1.0,12347,IMP,0.15619630127882245,0.0,11.3375,2.023906193915074
10p,tau_w,0.0,1.0,12347,FS,0.10454277554393954,0.0,6.235074999999999,1.1121676610237587
10p,p_conn,0.0,1.0,12347,IMP,0.15619630127882245,0.0,11.3375,2.023906193915074
10p,p_conn,0.0,1.0,12347,FS,0.10454277554393954,0.0,6.235074999999999,1.1121676610237587
10p,p_conn,-0.2,0.8,12346,IMP,0.1491277049546936,0.0,10.785062499999999,2.0247730193754863
10p,p_conn,-0.2,0.8,12346,FS,0.09479708326085536,0.0,6.4708375,1.121572104484813
10p,C,0.2,1.2,12347,IMP,0.13700928521947364,0.0,10.39875,2.0872224996972824
10p,C,0.2,1.2,12347,FS,0.09673908358609161,0.0,5.67485,1.1559279979353634
10p,C,0.1,1.1,12347,IMP,0.1528873605876497,0.0,10.808343749999999,2.0024797643890033
10p,C,0.1,1.1,12347,FS,0.10867998021233027,0.0,5.916825,1.1108055910162358
10p,C,0.0,1.0,12345,IMP,0.1744726597711724,0.0,11.731625,2.0088145091572507
10p,C,0.0,1.0,12345,FS,0.1100001326704704,0.0,6.3704375,1.1091601240245432
10p,tau_w,0.0,1.0,12345,IMP,0.1744726597711724,0.0,11.731625,2.0088145091572507
10p,tau_w,0.0,1.0,12345,FS,0.1100001326704704,0.0,6.3704375,1.1091601240245432
10p,p_conn,0.0,1.0,12345,IMP,0.1744726597711724,0.0,11.731625,2.0088145091572507
10p,p_conn,0.0,1.0,12345,FS,0.1100001326704704,0.0,6.3704375,1.1091601240245432
10p,p_conn,-0.2,0.8,12345,IMP,0.16608475785366394,0.0,11.041875,2.0588370814038424
10p,p_conn,-0.2,0.8,12345,FS,0.11517422225790716,0.0,6.5260375,1.1368771926950627
10p,C,0.2,1.2,12346,IMP,0.14571925696360924,0.0,11.14115625,2.0296866346777436
10p,C,0.2,1.2,12346,FS,0.09375116001268775,0.0,5.8616874999999995,1.1706638160544984
10p,C,-0.1,0.9,12345,IMP,0.18469170419487102,0.0,12.691125,1.9884325458925647
10p,C,-0.1,0.9,12345,FS,0.12420278348871844,0.0,6.803775000000001,1.0893234992997018
10p,tau_w,-0.1,0.9,12346,IMP,0.19331167394162496,0.0,13.182781249999998,1.9417671915867512
10p,tau_w,-0.1,0.9,12346,FS,0.1192283230071643,0.0,6.874475,1.1203738537753651
10p,tau_w,-0.2,0.8,12345,IMP,0.2053299033449817,0.0,13.38921875,1.6910219956859556
10p,tau_w,-0.2,0.8,12345,FS,0.13787494925778915,0.0,7.1764375000000005,0.9736725095529702
10p,tau_w,-0.1,0.9,12345,IMP,0.18793831021251198,0.0,12.345843749999998,1.8936193144880098
10p,tau_w,-0.1,0.9,12345,FS,0.12646282203443523,0.0,6.69755,1.0567425642858124
10p,tau_w,-0.2,0.8,12346,IMP,0.21822264126509008,0.0,14.51696875,1.840181504973497
10p,tau_w,-0.2,0.8,12346,FS,0.13625348040559693,0.0,7.4216125,1.084216937454329
10p,C,0.1,1.1,12345,IMP,0.15924638118658369,0.0,11.089125,2.0643766624466164
10p,C,0.1,1.1,12345,FS,0.10506831449912772,0.0,6.0328375,1.1468560976644397
10p,C,0.2,1.2,12345,IMP,0.14670152092607214,0.0,10.17265625,2.0130004964582806
10p,C,0.2,1.2,12345,FS,0.09735968593949877,0.0,5.649950000000001,1.1224941656272442
10p,C,-0.2,0.8,12345,IMP,0.19448920243418194,0.0,13.275531249999998,1.9542042661553196
10p,C,-0.2,0.8,12345,FS,0.13104224228750214,0.0,7.1923875,1.0646654534846658
10p,p_conn,0.2,1.2,12346,IMP,0.199867972448759,0.0,15.652218749999998,2.0707342565351468
10p,p_conn,0.2,1.2,12346,FS,0.11524331982002593,0.0,6.9870125000000005,1.2639445798529338
10p,tau_w,0.2,1.2,12345,IMP,0.14407344623073112,0.0,9.89484375,2.309494142281927
10p,tau_w,0.2,1.2,12345,FS,0.09397523689504361,0.0,5.6380375,1.210205575403075
10p,C,-0.2,0.8,12346,IMP,0.19975387581556073,0.0,13.88878125,2.121467033668313
10p,C,-0.2,0.8,12346,FS,0.12930036664106273,0.0,7.3227,1.173179298184728
10p,C,0.1,1.1,12346,IMP,0.1654475691350617,0.0,11.6925625,2.142411185103844
10p,C,0.1,1.1,12346,FS,0.10447523649136692,0.0,6.1566875,1.2170304292571656
10p,p_conn,0.2,1.2,12345,IMP,0.1877138891800743,0.0,13.9595,2.081383457658943
10p,p_conn,0.2,1.2,12345,FS,0.11628181095334295,0.0,6.5659125,1.1990424757195666
10p,p_conn,0.1,1.1,12346,IMP,0.18975156805381668,0.0,13.910843750000002,2.13797761885082
10p,p_conn,0.1,1.1,12346,FS,0.1134595627607772,0.0,6.6829125,1.2585136344711747
10p,C,-0.1,0.9,12347,IMP,0.17780633892425832,0.0,12.232281249999998,2.0135321995489277
10p,C,-0.1,0.9,12347,FS,0.1262628803029026,0.0,6.660237500000001,1.1066272236863737
10p,tau_w,-0.1,0.9,12347,IMP,0.1787450487659786,0.0,12.59965625,1.8929625200432425
10p,tau_w,-0.1,0.9,12347,FS,0.11959840337066634,0.0,6.731125,1.0762375018842385
10p,tau_w,0.2,1.2,12347,IMP,0.14231409467622266,0.0,10.062156250000001,2.347650901373637
10p,tau_w,0.2,1.2,12347,FS,0.09104022619260506,0.0,5.6552,1.2416645935225141
10p,p_conn,-0.1,0.9,12347,IMP,0.15852826619012433,0.0,11.55453125,1.9678998992443946
10p,p_conn,-0.1,0.9,12347,FS,0.1081053020874546,0.0,6.4322,1.0926540106834681
10p,p_conn,0.2,1.2,12347,IMP,0.18218557947031527,0.0,14.649812500000001,2.0599190093841995
10p,p_conn,0.2,1.2,12347,FS,0.11574427564113304,0.0,6.713987500000001,1.2170259429460275
10p,p_conn,0.1,1.1,12347,IMP,0.1845866139751947,0.0,13.10359375,2.1336594066073546
10p,p_conn,0.1,1.1,12347,FS,0.12868142640366118,0.0,6.5124375,1.218699942111735
10p,p_conn,-0.2,0.8,12347,IMP,0.159866482600537,0.0,10.778062499999999,2.0741300103739837
10p,p_conn,-0.2,0.8,12347,FS,0.11612536592484679,0.0,6.413075,1.1309924370728466
10p,tau_w,0.1,1.1,12347,IMP,0.15838670558984613,0.0,11.215343749999999,2.149262944419271
10p,tau_w,0.1,1.1,12347,FS,0.10151192532165323,0.0,6.06235,1.1772965094448857
50p,C,0.0,1.0,12345,IMP,0.5568369076416652,63.75000000000002,121.52227500000001,0.6874724314058015
50p,C,0.0,1.0,12345,FS,0.48962069668676333,64.00000000000003,103.4211375,0.6765052691634466
50p,tau_w,0.0,1.0,12345,IMP,0.5568369076416652,63.75000000000002,121.52227500000001,0.6874724314058015
50p,tau_w,0.0,1.0,12345,FS,0.48962069668676333,64.00000000000003,103.4211375,0.6765052691634466
50p,p_conn,0.0,1.0,12345,IMP,0.5568369076416652,63.75000000000002,121.52227500000001,0.6874724314058015
50p,p_conn,0.0,1.0,12345,FS,0.48962069668676333,64.00000000000003,103.4211375,0.6765052691634466
50p,C,-0.2,0.8,12345,IMP,0.5827419416516196,65.62500000000001,127.08130625000001,0.657887472385645
50p,C,-0.2,0.8,12345,FS,0.5191296619803848,65.875,108.81228749999998,0.6469338768439261
